City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
143,sarykemer,43.0,71.5,35.08,73,82,3.56,KZ,2023-11-25
144,penzance,50.1186,-5.5371,52.77,74,100,5.35,GB,2023-11-25
145,muravlenko,63.7898,74.523,4.62,95,100,13.76,RU,2023-11-25
146,iskateley,67.6803,53.1512,2.01,96,86,5.99,RU,2023-11-25
147,kone,-21.0595,164.8658,72.1,78,98,3.36,NC,2023-11-25
148,plettenberg bay,-34.0527,23.3716,63.43,87,99,4.25,ZA,2023-11-25
149,la punta,-33.1837,-66.3127,84.36,26,5,12.19,AR,2023-11-25
150,jamestown,42.097,-79.2353,41.02,53,0,6.91,US,2023-11-25
151,bismarck,46.8083,-100.7837,30.04,58,0,12.66,US,2023-11-25
152,new norfolk,-42.7826,147.0587,56.91,99,100,3.31,AU,2023-11-25
153,jiexiu,37.0244,111.9125,35.4,48,63,7.34,CN,2023-11-25
154,college,64.8569,-147.8028,22.44,85,75,0.0,US,2023-11-25
155,lae,-6.7221,146.9847,76.01,82,45,4.99,PG,2023-11-25
156,la malbaie,47.6575,-70.1559,25.66,59,53,15.79,CA,2023-11-25
157,santa cruz,-17.8,-63.1667,83.66,61,75,12.66,BO,2023-11-25
158,flying fish cove,-10.4217,105.6791,76.68,88,40,5.75,CX,2023-11-25
159,kalachinsk,55.0529,74.5751,24.33,95,97,9.35,RU,2023-11-25
160,totoras,-32.5844,-61.1685,87.58,25,10,11.45,AR,2023-11-25
161,ushirombo,-3.4919,31.9639,66.92,93,100,4.07,TZ,2023-11-25
162,antsiranana,-12.2787,49.2917,78.93,77,86,15.21,MG,2023-11-25
163,isafjordur,66.0755,-23.124,39.9,98,100,6.91,IS,2023-11-25
164,usinsk,65.9939,57.5281,-8.95,100,77,0.18,RU,2023-11-25
165,port douglas,-16.4833,145.4667,76.64,84,95,4.68,AU,2023-11-25
166,songyang,34.4553,113.0281,35.78,56,44,6.78,CN,2023-11-25
167,tura,25.5198,90.2201,63.72,84,20,4.07,IN,2023-11-25
168,konosha,60.9736,40.257,3.31,98,64,1.74,RU,2023-11-25
169,tobol,52.6844,62.5794,35.92,92,100,15.28,KZ,2023-11-25
170,colonia,50.9333,6.95,43.86,83,75,17.27,DE,2023-11-25
171,ribeira grande,38.5167,-28.7,68.4,94,75,11.99,PT,2023-11-25
172,bontang,0.1333,117.5,78.89,85,98,2.26,ID,2023-11-25
173,cova figueira,14.8905,-24.2934,73.56,72,0,16.33,CV,2023-11-25
174,mena,51.5217,32.2157,30.61,88,95,3.53,UA,2023-11-25
175,haiku-pauwela,20.9219,-156.3051,79.03,83,20,1.01,US,2023-11-25
176,enewetak,11.3474,162.3373,82.18,75,34,22.46,MH,2023-11-25
177,alofi,-19.0595,-169.9187,78.69,94,98,6.91,NU,2023-11-25
178,thompson,55.7435,-97.8558,28.56,93,100,6.91,CA,2023-11-25
179,kristiansund,63.1115,7.732,37.45,93,100,5.75,NO,2023-11-25
180,okhotsk,59.3833,143.3,-4.92,83,100,21.63,RU,2023-11-25
181,selfoss,63.9331,-20.9971,41.49,90,100,4.72,IS,2023-11-25
182,tamandare,-8.7597,-35.1047,82.29,59,31,10.07,BR,2023-11-25
183,sandnessjoen,66.0217,12.6316,-3.48,76,9,10.25,NO,2023-11-25
184,la'ie,21.6477,-157.9253,77.02,87,8,1.01,US,2023-11-25
185,maine soroa,13.2114,12.0241,84.76,23,98,2.13,NE,2023-11-25
186,northam,51.0333,-4.2167,45.66,86,98,3.11,GB,2023-11-25
187,pangkalanbuun,-2.6833,111.6167,74.91,97,100,2.64,ID,2023-11-25
188,luderitz,-26.6481,15.1594,66.56,63,2,20.42,,2023-11-25
189,kitimat,54.0524,-128.6534,35.98,96,99,3.47,CA,2023-11-25
190,laguna de perlas,12.3429,-83.6712,84.29,88,100,8.37,NI,2023-11-25
191,port hedland,-20.3167,118.5667,80.65,47,40,11.5,AU,2023-11-25
192,prince george,53.9166,-122.753,31.44,94,100,0.0,CA,2023-11-25
193,leiyang,26.4024,112.8591,53.71,81,1,3.85,CN,2023-11-25
194,waingapu,-9.6567,120.2641,80.67,79,100,3.0,ID,2023-11-25
195,kapa'a,22.0752,-159.319,73.38,89,0,9.22,US,2023-11-25
196,scone,56.4194,-3.4051,35.01,87,100,2.19,GB,2023-11-25
197,vilyuchinsk,52.9306,158.4028,21.92,77,23,14.56,RU,2023-11-25
198,ostroleka,53.0862,21.5757,33.93,97,94,6.73,PL,2023-11-25
199,longyearbyen,78.2186,15.6401,21.04,73,75,11.5,SJ,2023-11-25
200,barabai,-2.5833,115.3833,74.19,97,94,1.5,ID,2023-11-25
201,smithers,54.7804,-127.1743,32.32,100,100,3.44,CA,2023-11-25
202,uturoa,-16.7333,-151.4333,79.45,79,77,24.38,PF,2023-11-25
203,lihue,21.9789,-159.3672,72.64,84,0,9.22,US,2023-11-25
204,darab,28.7519,54.5444,61.45,50,3,1.92,IR,2023-11-25
205,hailey,43.5196,-114.3153,26.91,82,0,7.0,US,2023-11-25
206,onverwacht,5.5833,-55.1833,87.85,51,82,4.56,SR,2023-11-25
207,vila franca do campo,37.7167,-25.4333,66.61,99,100,10.18,PT,2023-11-25
208,nizhneudinsk,54.9076,99.0276,15.1,94,100,3.0,RU,2023-11-25
209,mossel bay,-34.1831,22.146,64.33,81,99,6.53,ZA,2023-11-25
210,rifle,39.5347,-107.7831,29.84,65,100,9.22,US,2023-11-25
211,simanggang,1.2472,111.4528,78.78,94,100,0.0,MY,2023-11-25
212,chandauli,25.2667,83.2667,59.05,35,0,3.02,IN,2023-11-25
213,yuzhno-kurilsk,44.0306,145.8556,31.37,78,100,16.04,RU,2023-11-25
214,erdek,40.3996,27.7935,62.33,67,75,20.71,TR,2023-11-25
215,port mathurin,-19.6833,63.4167,76.48,66,18,18.5,MU,2023-11-25
216,cururupu,-1.8283,-44.8683,89.67,51,26,8.55,BR,2023-11-25
217,niamtougou,9.7681,1.1053,84.04,61,40,4.61,TG,2023-11-25
218,saint-philippe,-21.3585,55.7679,74.79,78,49,12.26,RE,2023-11-25
219,isla mujeres,21.2311,-86.731,84.25,68,8,7.52,MX,2023-11-25
220,port alfred,-33.5906,26.891,64.18,98,100,8.41,ZA,2023-11-25
221,quellon,-43.1167,-73.6167,57.42,61,83,11.34,CL,2023-11-25
222,darwin,-12.4611,130.8418,78.78,93,40,0.0,AU,2023-11-25
223,laguna,38.421,-121.4238,59.02,50,0,9.22,US,2023-11-25
224,sarkand,45.41,79.9186,38.79,68,70,4.59,KZ,2023-11-25
225,bandarbeyla,9.4942,50.8122,80.06,76,19,19.1,SO,2023-11-25
226,genhe,50.7833,121.5167,-20.18,100,81,2.04,CN,2023-11-25
227,mount gambier,-37.8333,140.7667,54.82,91,98,8.9,AU,2023-11-25
228,nizhneangarsk,55.7833,109.55,4.01,72,100,4.0,RU,2023-11-25
229,east london,-33.0153,27.9116,67.14,100,100,0.0,ZA,2023-11-25
